code,lat,lon,elev,state,name,x,y
USC00325754,46.4025,-97.2381,327.7,ND,MC LEOD 3 E,220,170
USC00325993,48.1803,-101.296,539.2,ND,MINOT EXP STN,187,184
USC00326155,46.3719,-102.316,772.7,ND,MOTT,179,169
USC00326255,46.5067,-99.7692,603.5,ND,NAPOLEON,199,171
USC00326315,46.5414,-102.869,804.4,ND,NEW ENGLAND,175,171
USC00326365,46.8925,-101.49,655.3,ND,NEW SALEM 5NW,186,174
USC00327027,48.0356,-98.01,466.3,ND,PETERSBURG 2 N,213,183
USC00327311,46.1758,-101.856,755.9,ND,PRETTY ROCK,183,168
USC00327530,46.8886,-102.319,752.9,ND,RICHARDTON ABBEY,179,174
USC00327664,48.8811,-99.5861,558.7,ND,ROLLA 1NE,201,190
USC00328276,48.3567,-102.412,694.9,ND,STANLEY 3 NNW,178,185
USC00328792,48.3706,-100.391,451.1,ND,TOWNER 2 NE,194,185
USC00328812,47.2842,-103.901,737.6,ND,TROTTERS 3 SSE,166,177
USC00328840,47.5214,-100.888,577,ND,TURTLE LAKE,190,179
USC00328872,47.455,-101.146,623.3,ND,UNDERWOOD,188,178
USC00328913,48.6147,-100.726,434.3,ND,UPHAM 3 N,192,187
USC00328937,46.9558,-98.0203,368.8,ND,VALLEY CITY 3 NNW,213,174
USC00329195,47.2844,-101.027,528.8,ND,WASHBURN,189,177
USC00329246,47.6,-103.26,617.8,ND,WATFORD CITY 14S,171,179
USC00329333,48.9097,-101.019,457.8,ND,WESTHOPE,189,190
USC00329400,48.6631,-103.213,688.8,ND,WILDROSE 3NW,172,188
USC00329430,48.1375,-103.737,641.6,ND,WILLISTON EXP FARM,168,184
USC00329445,48.6061,-100.291,449,ND,WILLOW CITY,195,187
USC00330563,40.3533,-83.7747,361.2,OH,BELLEFONTAINE,327,121
USC00330862,41.3831,-83.6111,205.7,OH,BOWLING GREEN WWTP,329,130
USC00331072,40.8128,-82.9694,291.1,OH,BUCYRUS,334,125
USC00331197,40.0167,-81.5833,243.8,OH,CAMBRIDGE,345,119
USC00331390,40.5694,-84.5364,262.1,OH,CELINA 3 NE,321,123
USC00331404,40.3,-82.65,367.3,OH,CENTERBURG 2 SE,336,121
USC00331458,41.5833,-81.1833,344.4,OH,CHARDON,348,131
USC00331536,38.7983,-84.173,152.4,OH,CHILO MELDAHL L&D,324,109
USC00331541,41.0517,-81.9361,359.7,OH,CHIPPEWA LAKE,342,127
USC00331550,39.1169,-84.6961,152.4,OH,CINCINNATI FERNBANK,320,111
USC00331592,39.6106,-82.9547,205.1,OH,CIRCLEVILLE,334,115
USC00331890,40.2403,-81.8711,231.6,OH,COSHOCTON WPC PLT,343,120
USC00331905,40.3708,-81.7908,347.5,OH,COSHOCTON AG RSCH STN,343,121
USC00332044,40.4397,-82.3039,295.7,OH,DANVILLE 2 W,339,122
USC00332067,39.7633,-84.1911,227.1,OH,DAYTON MCD,324,117
USC00332098,41.2778,-84.3853,213.4,OH,DEFIANCE,322,129
USC00332251,41.6833,-80.6667,298.7,OH,DORSET,352,132
USC00332485,39.7347,-84.6336,305.4,OH,EATON,320,116
USC00332599,41.3833,-82.05,222.5,OH,ELYRIA 3 E,341,130
USC00332791,41.0461,-83.6622,234.1,OH,FINDLAY WPCC,328,127
USC00333029,38.8203,-82.1822,173.4,OH,GALLIPOLIS,340,109
USC00333375,40.1,-84.65,312.1,OH,GREENVILLE WTP,320,119
USC00333500,39.6667,-80.8667,189,OH,HANNIBAL L&D,351,116
USC00333758,39.2333,-83.6092,296,OH,HILLSBORO,329,112
USC00333780,41.3,-81.15,374.9,OH,HIRAM,348,129
USC00333874,41.2167,-83.7667,213.4,OH,HOYTVILLE 2 NE,327,128
USC00334189,40.6489,-83.6061,303.3,OH,KENTON,329,124
USC00334551,40.7247,-84.1294,259.1,OH,LIMA WWTP,324,124
USC00334874,40.7667,-82.6167,411.5,OH,MANSFIELD 5 W,337,125
USC00334927,39.4089,-81.4328,176.8,OH,MARIETTA WWTP,346,114
USC00334942,40.6167,-83.1333,294.1,OH,MARION 2 N,332,123
USC00334979,40.2411,-83.3669,304.8,OH,MARYSVILLE,331,120
USC00335041,39.6522,-81.8561,231.6,OH,MC CONNELLSVILLE LK 7,343,116
USC00335315,40.7692,-80.8561,356.6,OH,MILLPORT 4 NE,351,125
USC00335438,41.5886,-84.585,262.1,OH,MONTPELIER,321,131
USC00335747,40.0875,-82.4128,254.5,OH,NEWARK WATER WKS,338,119
USC00335857,39.7333,-82.2156,271.3,OH,NEW LEXINGTON 2 NW,340,116
USC00336196,41.2667,-82.2167,248.7,OH,OBERLIN,340,129
USC00336405,40.9461,-83.9614,234.7,OH,PANDORA,326,126
USC00336465,41.1244,-84.5922,221,OH,PAULDING,321,127
USC00336600,39.8386,-81.9167,310.9,OH,PHILO 3 SW,342,117
USC00336781,38.7569,-82.8872,164.6,OH,PORTSMOUTH-SCIOTOVILLE,334,109
USC00337693,40.2706,-84.1506,286.5,OH,SIDNEY 1 S,324,121
USC00337935,39.9667,-83.8167,283.5,OH,SPRINGFIELD NEW WWKS,327,118
USC00338025,40.3764,-80.6283,302.4,OH,STEUBENVILLE,352,122
USC00338313,41.1167,-83.1667,225.6,OH,TIFFIN,332,127
USC00338534,40.8333,-83.2833,260.3,OH,UPPER SANDUSKY,331,125
USC00338552,40.0986,-83.7822,304.8,OH,URBANA WWTP,327,119
USC00338609,40.8494,-84.5808,240.8,OH,VAN WERT 1 S,321,125
USC00338769,41.2,-80.8167,274.3,OH,WARREN 3 S,351,128
USC00338822,41.5183,-84.1453,228.6,OH,WAUSEON WTP,324,131
USC00338830,39.1114,-82.9797,170.7,OH,WAVERLY,334,111
USC00338951,40.1264,-82.9433,246.9,OH,WESTERVILLE,334,120
USC00339219,39.4833,-83.8167,313.9,OH,WILMINGTON 3 N,327,114
USC00339312,40.7833,-81.9167,310.9,OH,WOOSTER EXP STN,342,125
USC00340017,34.7864,-96.685,309.4,OK,ADA,224,77
USC00340179,34.5903,-99.3344,420.6,OK,ALTUS IRIG RSCH STN,203,75
USC00340184,34.8847,-99.2964,464.8,OK,ALTUS DAM,203,78
USC00340224,35.0619,-98.1989,356,OK,ANADARKO 3 E,212,79
USC00340593,36.8125,-100.531,751.3,OK,BEAVER,193,93
USC00340755,36.5297,-97.4472,304.8,OK,BILLINGS,218,91
USC00340830,35.1183,-97.67,388.6,OK,BLANCHARD 2 SSW,216,79
USC00340908,36.7236,-102.481,1259.7,OK,BOISE CITY 2 E,178,92
USC00341144,35.8292,-96.3917,253,OK,BRISTOW,226,85
USC00341724,36.7672,-98.4244,377.6,OK,CHEROKEE 4W,210,93
USC00341745,34.5019,-96.9717,321.6,OK,CHICKASAW NRA,222,75
USC00341750,35.0489,-97.9158,330.7,OK,CHICKASHA EXP STATION,214,79
USC00341828,36.3225,-95.5808,179.2,OK,CLAREMORE 2 ENE,233,89
USC00342318,35.9803,-96.7758,289.6,OK,CUSHING,223,86
USC00342660,34.5011,-97.9592,342.9,OK,DUNCAN,214,75
USC00342912,36.4194,-97.8747,379.5,OK,ENID,215,90
USC00342944,35.2164,-99.8628,627.9,OK,ERICK,199,80
USC00343304,36.5442,-99.535,618.7,OK,FORT SUPPLY 3SE,201,91
USC00343489,36.85,-100.057,685.8,OK,GATE,197,93
USC00343628,36.5914,-101.618,999.1,OK,GOODWELL RSCH STN,185,91
USC00343740,36.7425,-98.1331,365.8,OK,GREAT SALT PLAINS DAM,212,92
USC00343821,35.8161,-97.395,338.3,OK,GUTHRIE 5S,218,85
USC00344019,36.5381,-98.2661,411.5,OK,HELENA 1 SSE,211,91
USC00344055,36.0942,-97.835,357.8,OK,HENNESSEY 4 ESE,215,87
USC00344249,34.6808,-99.8136,494.1,OK,HOLLIS 5E,199,76
USC00344573,36.7222,-97.7903,318.5,OK,JEFFERSON,215,92
USC00344672,36.2133,-94.7725,362.7,OK,KANSAS 2 NE,239,88
USC00344861,35.8583,-97.9294,320,OK,KINGFISHER,214,85
USC00345468,34.0919,-96.7708,234.7,OK,MADILL,223,71
USC00345509,34.8911,-99.5017,486.2,OK,MANGUM,201,78
USC00345522,36.1747,-96.4433,253,OK,MANNFORD 6 NW,226,88
USC00345563,33.8761,-97.1642,244.4,OK,MARIETTA 5SW,220,70
USC00345693,35.1447,-94.9669,199.6,OK,MC CURTAIN 1 SE,238,80
